"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:12:26 GMT 2024","Fri Dec 13 19:12:26 GMT 2024","332","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields",""
"failed","Fri Dec 13 19:14:12 GMT 2024","Fri Dec 13 19:14:12 GMT 2024","301","webkit","","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.",""
"failed","Fri Dec 13 19:18:18 GMT 2024","Fri Dec 13 19:18:19 GMT 2024","313","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""w"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:13:28 GMT 2024","Fri Dec 13 19:13:28 GMT 2024","314","webkit","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters",""
"failed","Fri Dec 13 19:13:21 GMT 2024","Fri Dec 13 19:13:21 GMT 2024","301","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article",""
"failed","Fri Dec 13 19:12:08 GMT 2024","Fri Dec 13 19:12:08 GMT 2024","301","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS",""
"failed","Fri Dec 13 19:18:33 GMT 2024","Fri Dec 13 19:18:34 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:15:50 GMT 2024","Fri Dec 13 19:15:50 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header",""
"failed","Fri Dec 13 19:13:35 GMT 2024","Fri Dec 13 19:13:35 GMT 2024","312","webkit","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query",""
"failed","Fri Dec 13 19:12:47 GMT 2024","Fri Dec 13 19:12:47 GMT 2024","328","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone",""
"failed","Fri Dec 13 19:16:59 GMT 2024","Fri Dec 13 19:16:59 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:15:06 GMT 2024","Fri Dec 13 19:15:06 GMT 2024","1","webkit","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)",""
"failed","Fri Dec 13 19:17:09 GMT 2024","Fri Dec 13 19:17:09 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:11:30 GMT 2024","Fri Dec 13 19:11:31 GMT 2024","307","webkit","","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy",""
"skipped","Fri Dec 13 19:13:59 GMT 2024","Fri Dec 13 19:13:59 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu",""
"failed","Fri Dec 13 19:20:17 GMT 2024","Fri Dec 13 19:20:18 GMT 2024","320","webkit","","Report Abuse submission for each type of report","","","TC_09_07_06| Verify unauthorized user can submit the ""Report Abuse"" form for Other Illegal Activities",""
"failed","Fri Dec 13 19:16:34 GMT 2024","Fri Dec 13 19:16:34 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""b"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:11:41 GMT 2024","Fri Dec 13 19:11:41 GMT 2024","309","webkit","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo",""
"failed","Fri Dec 13 19:14:15 GMT 2024","Fri Dec 13 19:14:16 GMT 2024","298","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency",""
"failed","Fri Dec 13 19:18:28 GMT 2024","Fri Dec 13 19:18:29 GMT 2024","308","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:19:03 GMT 2024","Fri Dec 13 19:19:03 GMT 2024","305","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type",""
"failed","Fri Dec 13 19:11:26 GMT 2024","Fri Dec 13 19:11:26 GMT 2024","302","webkit","","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements",""
"failed","Fri Dec 13 19:11:21 GMT 2024","Fri Dec 13 19:11:21 GMT 2024","289","webkit","","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"failed","Fri Dec 13 19:17:38 GMT 2024","Fri Dec 13 19:17:39 GMT 2024","317","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
