"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 04:05:59 GMT 2024","Wed Dec 18 04:06:05 GMT 2024","6370","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"passed","Wed Dec 18 04:09:36 GMT 2024","Wed Dec 18 04:09:44 GMT 2024","7888","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""a"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:09:44 GMT 2024","Wed Dec 18 04:09:55 GMT 2024","10770","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""b"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:10:14 GMT 2024","Wed Dec 18 04:10:27 GMT 2024","12408","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:16:19 GMT 2024","Wed Dec 18 04:16:33 GMT 2024","14787","webkit","","Report Abuse submission for each type of report","","","TC_09_07_06| Verify unauthorized user can submit the ""Report Abuse"" form for Other Illegal Activities","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 03:51:24 GMT 2024","Wed Dec 18 03:51:40 GMT 2024","15265","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type",""
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type",""
"passed","Wed Dec 18 04:16:50 GMT 2024","Wed Dec 18 04:17:04 GMT 2024","13903","webkit","","Report Abuse submission for each type of report","","","TC_09_07_08| Verify unauthorized user can submit the ""Report Abuse"" form for CSAM (Child Abuse)","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 04:00:23 GMT 2024","Wed Dec 18 04:00:52 GMT 2024","28886","webkit","","Help Center","","","TC_07_02_02 | Verify the user can navigate through the articles","Verify the user can navigate through the articles"
"passed","Wed Dec 18 04:11:22 GMT 2024","Wed Dec 18 04:11:30 GMT 2024","7595","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:16:01 GMT 2024","Wed Dec 18 04:16:19 GMT 2024","17160","webkit","","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 03:50:53 GMT 2024","Wed Dec 18 03:51:09 GMT 2024","15768","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Wed Dec 18 03:47:18 GMT 2024","Wed Dec 18 03:47:33 GMT 2024","15039","webkit","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Wed Dec 18 03:49:15 GMT 2024","Wed Dec 18 03:49:30 GMT 2024","15080","webkit","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type",""
"passed","Wed Dec 18 03:55:54 GMT 2024","Wed Dec 18 03:56:06 GMT 2024","11979","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Blog search, as well as previous search history when the search field is empty."
"passed","Wed Dec 18 04:03:16 GMT 2024","Wed Dec 18 04:03:28 GMT 2024","11807","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency","To verify, the General info tab contents General info, Password, Two-factor authentication (2FA), Currency and the General info section contains USER EMAIL and the Delete account button"
"failed","Wed Dec 18 04:08:13 GMT 2024","Wed Dec 18 04:08:24 GMT 2024","11615","webkit","","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons","Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons"
"passed","Wed Dec 18 03:51:56 GMT 2024","Wed Dec 18 03:52:10 GMT 2024","13700","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Wed Dec 18 04:05:25 GMT 2024","Wed Dec 18 04:05:35 GMT 2024","9290","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Dec 18 03:50:02 GMT 2024","Wed Dec 18 03:50:14 GMT 2024","12257","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".","Visual tests: Dialog ""Create hosted zone"""
"passed","Wed Dec 18 04:09:19 GMT 2024","Wed Dec 18 04:09:28 GMT 2024","8941","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the OV subscription SSL Сertificates"
"passed","Wed Dec 18 04:17:04 GMT 2024","Wed Dec 18 04:17:17 GMT 2024","13288","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 04:01:51 GMT 2024","Wed Dec 18 04:02:04 GMT 2024","12996","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Dec 18 04:17:33 GMT 2024","Wed Dec 18 04:17:47 GMT 2024","13983","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 04:17:47 GMT 2024","Wed Dec 18 04:18:01 GMT 2024","13839","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 04:02:04 GMT 2024","Wed Dec 18 04:02:18 GMT 2024","14496","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type",""
"passed","Wed Dec 18 04:12:32 GMT 2024","Wed Dec 18 04:12:41 GMT 2024","9193","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 03:48:15 GMT 2024","Wed Dec 18 03:48:27 GMT 2024","12223","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Wed Dec 18 03:50:36 GMT 2024","Wed Dec 18 03:50:53 GMT 2024","16527","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Wed Dec 18 03:48:27 GMT 2024","Wed Dec 18 03:48:39 GMT 2024","11571","webkit","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
