"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","0","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch",""
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","0","webkit","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo",""
"failed","Fri Dec 13 19:37:52 GMT 2024","Fri Dec 13 19:37:53 GMT 2024","317","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page",""
"failed","Fri Dec 13 19:35:52 GMT 2024","Fri Dec 13 19:35:53 GMT 2024","300","webkit","","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone",""
"skipped","Fri Dec 13 19:37:01 GMT 2024","Fri Dec 13 19:37:01 GMT 2024","1","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu",""
"failed","Fri Dec 13 19:35:56 GMT 2024","Fri Dec 13 19:35:56 GMT 2024","308","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".",""
"failed","Fri Dec 13 19:41:50 GMT 2024","Fri Dec 13 19:41:50 GMT 2024","301","webkit","","Contact Us","","","TC_09_06_02 | Verify unauthorized users can submit the ""Contact Us"" form for ""Payment, Sales & Billing Issues"" Type",""
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","0","webkit","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center",""
"failed","Fri Dec 13 19:38:02 GMT 2024","Fri Dec 13 19:38:03 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page",""
"failed","Fri Dec 13 19:40:11 GMT 2024","Fri Dec 13 19:40:11 GMT 2024","294","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:41:16 GMT 2024","Fri Dec 13 19:41:16 GMT 2024","312","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:40:16 GMT 2024","Fri Dec 13 19:40:16 GMT 2024","290","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:35:42 GMT 2024","Fri Dec 13 19:35:42 GMT 2024","301","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields",""
"failed","Fri Dec 13 19:34:04 GMT 2024","Fri Dec 13 19:34:05 GMT 2024","283","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @",""
"failed","Fri Dec 13 19:35:45 GMT 2024","Fri Dec 13 19:35:46 GMT 2024","317","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields",""
"failed","Fri Dec 13 19:36:57 GMT 2024","Fri Dec 13 19:36:57 GMT 2024","309","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)",""
