"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home",""
"failed","Fri Dec 13 19:52:44 GMT 2024","Fri Dec 13 19:52:44 GMT 2024","324","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields",""
"skipped","Fri Dec 13 19:53:47 GMT 2024","Fri Dec 13 19:53:47 GMT 2024","0","webkit","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories",""
"failed","Fri Dec 13 19:51:27 GMT 2024","Fri Dec 13 19:51:28 GMT 2024","304","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters",""
"failed","Fri Dec 13 19:53:46 GMT 2024","Fri Dec 13 19:53:46 GMT 2024","312","webkit","","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center",""
"failed","Fri Dec 13 19:59:34 GMT 2024","Fri Dec 13 19:59:34 GMT 2024","297","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type",""
"failed","Fri Dec 13 19:53:56 GMT 2024","Fri Dec 13 19:53:57 GMT 2024","311","webkit","","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article",""
"failed","Fri Dec 13 19:58:41 GMT 2024","Fri Dec 13 19:58:41 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","1","webkit","","Delete Account","","","TC_02_04 | Account Deletion Without 2FA",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","1","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"failed","Fri Dec 13 19:53:19 GMT 2024","Fri Dec 13 19:53:19 GMT 2024","301","webkit","","Hosted zones","","","TC_04_03_01| Verify user can create hosted zone",""
"failed","Fri Dec 13 19:59:05 GMT 2024","Fri Dec 13 19:59:05 GMT 2024","305","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type",""
